"date","horizon","model","csfe"
2021-05-01,"h = 3","MRF fixed",-0.881783067126581
2021-06-01,"h = 3","MRF fixed",-0.922013887883467
2021-07-01,"h = 3","MRF fixed",-0.788449973601864
2021-08-01,"h = 3","MRF fixed",-0.819331829348282
2021-09-01,"h = 3","MRF fixed",-0.807959956877472
2021-10-01,"h = 3","MRF fixed",-0.997357884889623
2021-11-01,"h = 3","MRF fixed",-1.05279847624734
2021-12-01,"h = 3","MRF fixed",-1.06541735522713
2022-01-01,"h = 3","MRF fixed",-1.05991796795199
2022-02-01,"h = 3","MRF fixed",-1.20831649619481
2022-03-01,"h = 3","MRF fixed",-1.31373304073105
2022-04-01,"h = 3","MRF fixed",-1.10292049148336
2022-05-01,"h = 3","MRF fixed",-1.0785333309223
2022-06-01,"h = 3","MRF fixed",-1.22981796104008
2022-07-01,"h = 3","MRF fixed",-0.816640400069586
2022-08-01,"h = 3","MRF fixed",-0.588104089113724
2022-09-01,"h = 3","MRF fixed",-0.342775190885956
2022-10-01,"h = 3","MRF fixed",-0.211634983710936
2022-11-01,"h = 3","MRF fixed",-0.222371153935749
2022-12-01,"h = 3","MRF fixed",-0.117636384010398
2023-01-01,"h = 3","MRF fixed",-0.117320730201568
2023-02-01,"h = 3","MRF fixed",-0.120151674629168
2023-03-01,"h = 3","MRF fixed",-0.113004673370057
2023-04-01,"h = 3","MRF fixed",-0.109368555382495
2023-05-01,"h = 3","MRF fixed",-0.0704725339782811
2023-06-01,"h = 3","MRF fixed",0.274381543987541
2023-07-01,"h = 3","MRF fixed",0.195862504580807
2023-08-01,"h = 3","MRF fixed",0.199263351780964
2023-09-01,"h = 3","MRF fixed",0.17609667744417
2023-10-01,"h = 3","MRF fixed",0.160540822761142
2023-11-01,"h = 3","MRF fixed",0.168336869727364
2023-12-01,"h = 3","MRF fixed",0.178070198949193
2024-01-01,"h = 3","MRF fixed",0.173190310563009
2024-02-01,"h = 3","MRF fixed",0.195307692610387
2024-03-01,"h = 3","MRF fixed",0.197808173044642
2024-04-01,"h = 3","MRF fixed",0.17543904230936
2024-05-01,"h = 3","MRF fixed",0.17924523262261
2024-06-01,"h = 3","MRF fixed",0.170643356377049
2024-07-01,"h = 3","MRF fixed",0.167109795724015
2024-08-01,"h = 3","MRF fixed",0.116051311597785
2024-09-01,"h = 3","MRF fixed",0.117408461598562
2024-10-01,"h = 3","MRF fixed",0.127741169921734
2024-11-01,"h = 3","MRF fixed",0.106084366629338
2024-12-01,"h = 3","MRF fixed",0.107715995938831
2025-01-01,"h = 3","MRF fixed",0.0858708909034687
2025-02-01,"h = 3","MRF fixed",0.293791327376725
2025-03-01,"h = 3","MRF fixed",0.306041610858877
2025-04-01,"h = 3","MRF fixed",0.27021256980052
2025-05-01,"h = 3","MRF fixed",0.381411448554865
2025-06-01,"h = 3","MRF fixed",0.373714986510933
2025-07-01,"h = 3","MRF fixed",0.370612776147216
2025-08-01,"h = 3","MRF fixed",0.276782380372339
2025-09-01,"h = 3","MRF fixed",0.278763008574788
2025-10-01,"h = 3","MRF fixed",0.298266578738202
2025-11-01,"h = 3","MRF fixed",0.211182963404568
2025-12-01,"h = 3","MRF fixed",0.215509563542983
2016-03-01,"h = 3","MRF expanding",0.0978497124586894
2016-04-01,"h = 3","MRF expanding",0.116178097194482
2016-05-01,"h = 3","MRF expanding",0.0630419556827359
2016-06-01,"h = 3","MRF expanding",0.0628221259295344
2016-07-01,"h = 3","MRF expanding",0.0979611161684916
